Journal Name,Is_Nature_Index
ACS Nano,Yes
Advanced Functional Materials,Yes
Advanced Materials,Yes
American Journal of Clinical Nutrition,Yes
American Journal of Epidemiology,Yes
American Journal of Human Genetics,Yes
American Journal of Obstetrics and Gynecology,Yes
American Journal of Pathology,Yes
American Journal of Respiratory and Critical Care Medicine,Yes
Analytical Chemistry,Yes
Anesthesiology,Yes
Angewandte Chemie International Edition,Yes
Annals of Emergency Medicine,Yes
Annals of Family Medicine,Yes
Annals of Internal Medicine,Yes
Annals of Neurology,Yes
Annals of Surgery,Yes
Annals of the Rheumatic Diseases,Yes
Applied Physics Letters,Yes
Archives of Physical Medicine and Rehabilitation,Yes
Arthritis & Rheumatology,Yes
Astronomy & Astrophysics,Yes
Blood,Yes
Brain,Yes
British Journal of Surgery,Yes
Cancer Cell,Yes
Cancer Research,Yes
Cell,Yes
Cell Host & Microbe,Yes
Cell Metabolism,Yes
Cell Stem Cell,Yes
Chemical Communications,Yes
Chemical Science,Yes
Chest,Yes
Circulation,Yes
Clinical Infectious Diseases,Yes
Critical Care Medicine,Yes
Current Biology,Yes
Developmental Cell,Yes
Diabetes Care,Yes
Earth and Planetary Science Letters,Yes
Ecology Letters,Yes
Environmental Health Perspectives,Yes
Environmental Science and Technology,Yes
European Heart Journal,Yes
European Physical Journal C,Yes
European Urology,Yes
Gastroenterology,Yes
Genes & Development,Yes
Genome Research,Yes
Geochimica et Cosmochimica Acta,Yes
Geology,Yes
Geophysical Research Letters,Yes
Gut,Yes
Hepatology,Yes
Human Reproduction,Yes
Immunity,Yes
Inorganic Chemistry,Yes
International Journal of Epidemiology,Yes
International Journal of Obesity,Yes
JAMA Internal Medicine,Yes
JAMA Pediatrics,Yes
JAMA Psychiatry,Yes
JAMA Surgery,Yes
JAMA: The Journal of the American Medical Association,Yes
Journal of Biological Chemistry,Yes
Journal of Bone and Joint Surgery American Volume,Yes
Journal of Cell Biology,Yes
Journal of Clinical Endocrinology & Metabolism,Yes
Journal of Clinical Investigation,Yes
Journal of Clinical Oncology,Yes
Journal of Experimental Medicine,Yes
Journal of Geophysical Research: Atmospheres,Yes
Journal of Geophysical Research: Solid Earth,Yes
Journal of Hepatology,Yes
Journal of High Energy Physics,Yes
Journal of Infectious Diseases,Yes
Journal of Neuroscience,Yes
Journal of Physiology,Yes
Journal of Thoracic and Cardiovascular Surgery,Yes
Journal of the American Academy of Child and Adolescent Psychiatry,Yes
Journal of the American Academy of Dermatology,Yes
Journal of the American Chemical Society,Yes
Journal of the American College of Cardiology,Yes
Journal of the American Geriatrics Society,Yes
Journal of the American Society of Nephrology,Yes
Journal of the National Cancer Institute,Yes
Kidney International,Yes
Macromolecules,Yes
Molecular Cell,Yes
Molecular Psychiatry,Yes
Monthly Notices of the Royal Astronomical Society: Letters,Yes
Nano Letters,Yes
Nature,Yes
Nature Biotechnology,Yes
Nature Cell Biology,Yes
Nature Chemical Biology,Yes
Nature Chemistry,Yes
Nature Climate Change,Yes
Nature Communications,Yes
Nature Genetics,Yes
Nature Geoscience,Yes
Nature Immunology,Yes
Nature Materials,Yes
Nature Medicine,Yes
Nature Methods,Yes
Nature Nanotechnology,Yes
Nature Neuroscience,Yes
Nature Photonics,Yes
Nature Physics,Yes
Nature Structural & Molecular Biology,Yes
Neuron,Yes
Ophthalmology,Yes
Organic Letters,Yes
PLOS Biology,Yes
PLOS Genetics,Yes
PLOS Medicine,Yes
Pediatrics,Yes
Physical Review A,Yes
Physical Review B,Yes
Physical Review D,Yes
Physical Review Letters,Yes
Physical Review X,Yes
Proceedings of the National Academy of Sciences of the United States of America,Yes
Proceedings of the Royal Society B,Yes
Radiology,Yes
Science,Yes
Science Advances,Yes
Science Translational Medicine,Yes
The Astrophysical Journal Letters,Yes
The BMJ,Yes
The EMBO Journal,Yes
The ISME Journal: Multidisciplinary Journal of Microbial Ecology,Yes
The Journal of Allergy and Clinical Immunology,Yes
The Journal of Physical Chemistry Letters,Yes
The Lancet,Yes
The Lancet Diabetes & Endocrinology,Yes
The Lancet Global Health,Yes
The Lancet Neurology,Yes
The Lancet Oncology,Yes
The Lancet Psychiatry,Yes
The New England Journal of Medicine,Yes
The Plant Cell,Yes
Thorax,Yes
Water Research,Yes
